																
grün1			Rot1			Rot2			Türkis			violett			violettx2	
&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %		&a / °	I1 / %
2.111	15.3		2.111	18.8		2.111	14.5		2.111	14.2		2.111	15.0		2.111	15.3
2.109	15.3		2.109	18.8		2.109	14.5		2.109	14.2		2.109	15.0		2.109	15.3
2.106	15.3		2.106	18.8		2.106	14.5		2.106	14.2		2.106	15.0		2.106	15.3
2.103	15.3		2.103	18.8		2.103	14.5		2.103	14.2		2.103	15.0		2.103	15.3
2.101	15.3		2.101	18.8		2.101	14.5		2.101	14.2		2.101	15.0		2.101	15.3
2.098	15.3		2.098	18.8		2.098	14.5		2.098	14.2		2.098	15.0		2.098	15.3
2.095	15.3		2.095	18.8		2.095	14.5		2.095	14.2		2.095	15.0		2.095	15.3
2.093	15.3		2.093	18.8		2.093	14.5		2.093	14.2		2.093	15.0		2.093	15.3
2.090	15.3		2.090	18.8		2.090	14.5		2.090	14.2		2.090	15.0		2.090	15.3
2.087	15.3		2.087	18.8		2.087	14.5		2.087	14.2		2.087	15.0		2.087	15.3
2.085	15.3		2.085	18.8		2.085	14.5		2.085	14.2		2.085	15.0		2.085	15.3
2.082	15.3		2.082	18.8		2.082	14.5		2.082	14.2		2.082	15.0		2.082	15.3
2.079	15.3		2.079	18.8		2.079	14.5		2.079	14.2		2.079	15.0		2.079	15.3
2.077	15.3		2.077	18.8		2.077	14.5		2.077	14.2		2.077	15.0		2.077	15.3
2.074	15.3		2.074	18.8		2.074	14.5		2.074	14.2		2.074	15.0		2.074	15.3
2.071	15.3		2.071	18.8		2.071	14.5		2.071	14.2		2.071	15.0		2.071	15.3
2.069	15.3		2.069	18.8		2.069	14.5		2.069	14.2		2.069	15.0		2.069	15.3
2.066	15.3		2.066	18.8		2.066	14.5		2.066	14.2		2.066	15.0		2.066	15.3
2.063	15.3		2.063	18.8		2.063	14.5		2.063	14.2		2.063	15.0		2.063	15.3
2.061	15.3		2.061	18.8		2.061	14.5		2.061	14.2		2.061	15.0		2.061	15.3
2.058	15.3		2.058	18.8		2.058	14.5		2.058	14.2		2.058	15.0		2.058	15.3
2.055	15.3		2.055	18.8		2.055	14.5		2.055	14.2		2.055	15.0		2.055	15.3
2.053	15.3		2.053	18.8		2.053	14.5		2.053	14.2		2.053	15.0		2.053	15.3
2.050	15.3		2.050	18.8		2.050	14.5		2.050	14.2		2.050	15.0		2.050	15.3
